"COUNTRY",1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,"1999","2000","2001",2002,2003,2004
"AFGHANISTAN",0,0,0,1,1,1,1,1,2,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"ALBANIA",2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"ALGERIA",18,14,17,19,20,19,20,21,22,21,23,23,22,22,23,24,23,22,23,23,23,21,22,22,21
"AMERICAN SAMOA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ANGOLA",1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,3,3,4,3,4,4,4,4,5,5
"ANTARCTICA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ANTIGUA AND BARBUDA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ARGENTINA",25,25,26,27,28,26,28,29,30,30,27,30,30,32,32,32,35,35,37,38,37,35,33,36,39
"ARMENIA",,,,,,,,,,,,,3,2,2,2,2,2,2,2,2,2,2,2,2
"ARUBA",,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AUSTRALIA",54,54,56,56,59,61,62,65,68,72,72,72,75,77,76,78,81,89,91,96,96,100,102,101,105
"AUSTRIA",16,15,14,14,15,15,15,15,14,14,15,16,15,16,15,16,17,17,18,17,17,19,19,20,19
"AZERBAIJAN",,,,,,,,,,,,,16,14,12,12,11,10,13,13,12,8,10,9,10
"BAHAMAS, THE",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"BAHRAIN",2,2,3,3,3,3,3,4,3,4,4,4,4,4,4,4,4,5,5,5,5,6,6,6,6
"BANGLADESH",2,2,2,2,3,3,3,3,4,4,4,4,4,5,5,6,6,6,7,7,8,9,9,10,10
"BARBADOS",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BELARUS",,,,,,,,,,,,,25,22,18,17,16,16,15,16,16,15,14,15,15
"BELGIUM",36,37,35,31,32,32,32,32,31,33,34,35,34,34,35,35,37,38,40,38,39,39,38,40,40
"BELIZE",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BENIN",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
"BERMUDA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BHUTAN",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BOLIVIA",1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,3,2,3,3,3
"BOSNIA AND HERZEGOVINA",,,,,,,,,,,,,5,4,1,2,1,3,3,3,4,4,4,4,4
"BOTSWANA",0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"BRAZIL",51,48,47,44,48,51,56,58,59,61,61,63,64,70,73,79,83,88,88,91,94,96,96,87,92
"BRUNEI",1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2
"BULGARIA",25,24,25,25,25,26,26,26,25,23,20,15,15,14,14,14,14,15,13,12,13,14,13,14,13
"BURKINA FASO",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BURMA",1,1,1,1,2,2,1,1,1,1,1,1,1,1,2,2,2,2,2,3,3,3,3,3,3
"BURUNDI",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CAMBODIA ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CAMEROON",1,1,1,2,2,2,3,2,1,2,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2
"CANADA",123,119,114,111,116,119,115,121,129,134,131,126,132,132,134,138,141,147,148,152,155,151,154,162,160
"CAPE VERDE",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CAYMAN ISLANDS",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CENTRAL AFRICAN REPUBLIC",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CHAD",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CHILE",7,6,5,5,6,5,5,5,6,8,9,8,8,9,10,11,12,15,15,16,15,15,15,16,17
"CHINA",397,388,406,430,466,501,532,567,604,611,611,640,660,706,763,784,791,828,801,791,827,869,902,"1,063","1,284"
"COLOMBIA",11,11,11,12,12,12,12,11,13,13,11,13,14,15,15,15,15,17,17,16,16,16,15,16,15
"COMOROS",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CONGO (BRAZZAVILLE)",0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1
"CONGO (KINSHASA)",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0
"COOK ISLANDS",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"COSTA RICA",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2
"COTE D'IVOIRE (IVORY COAST)",1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,2,1,1,2,2,2,2,2,2
"CROATIA",,,,,,,,,,,,,4,5,5,5,5,5,5,5,5,5,6,6,6
"CUBA",9,9,10,9,9,9,10,9,10,10,10,9,8,8,8,8,8,9,9,9,9,9,9,9,9
"CYPRUS",1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2
"CZECH REPUBLIC",,,,,,,,,,,,,,35,33,34,35,33,31,28,32,31,30,31,31
"DENMARK",18,17,16,14,15,18,18,17,16,16,15,17,17,16,17,19,20,20,16,16,15,15,14,17,15
"DJIBOUTI ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
"DOMINICA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DOMINICAN REPUBLIC",2,1,2,2,2,2,2,2,2,2,2,3,3,2,3,3,3,3,3,4,5,5,5,6,6
"EAST TIMOR",,,,,,,,,,,,,,,,,,,,,,,,,,
"ECUADOR",4,4,4,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,6,5,5,6,6,6,6
"EGYPT",12,14,15,18,20,22,22,23,23,23,25,26,25,26,27,27,29,30,31,31,32,36,36,39,40
"EL SALVADOR",1,0,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2
"EQUATORIAL GUINEA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1
"ERITREA",,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0
"ESTONIA",,,,,,,,,,,,,7,5,4,4,5,5,5,4,4,5,4,5,5
"ETHIOPIA",0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1
"FALKLAND ISLANDS",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"FAROE ISLANDS",,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
"FIJI",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"FINLAND",15,14,13,12,12,13,14,14,13,14,14,14,13,14,16,13,14,15,14,13,14,15,15,18,17
"FORMER CZECHOSLOVAKIA",58,57,56,56,58,58,57,57,55,55,53,47,44,,,,,,,,,,,,
"FORMER SOVIET UNION",826,838,869,891,922,954,988,"1,002","1,027","1,009","1,034",953,,,,,,,,,,,,,
"FORMER YUGOSLAVIA",29,32,33,34,39,41,40,41,41,42,41,36,,,,,,,,,,,,,
"FRANCE",133,121,116,111,107,108,100,98,93,100,101,107,104,100,98,102,106,104,111,109,109,110,109,111,111
"FRENCH GUIANA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"FRENCH POLYNESIA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GABON",1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,1,2,2,2,1,1,1,1,1,1
"GAMBIA, THE",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GEORGIA",,,,,,,,,,,,,4,2,1,1,2,2,2,1,1,1,1,1,1
"GERMANY",,,,,,,,,,,,252,241,241,236,239,241,239,235,227,231,237,230,235,235
"GERMANY, EAST",82,82,83,81,86,91,92,91,89,85,78,,,,,,,,,,,,,,
"GERMANY, WEST",205,193,188,188,192,188,191,188,188,184,189,,,,,,,,,,,,,,
"GHANA",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2
"GIBRALTAR",0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,1,1,1,1,1,2,1,1,1,1
"GREECE",15,15,15,15,16,17,17,19,20,21,22,22,21,22,23,23,23,25,26,26,27,28,28,29,29
"GREENLAND",0,0,0,0,0,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
"GRENADA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GUADELOUPE",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
"GUAM",1,1,1,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"GUATEMALA",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,3,3,3,3
"GUINEA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GUINEA-BISSAU",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GUYANA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"HAITI",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"HAWAIIAN TRADE ZONE",2,2,2,2,2,2,1,,,,,,,,,,,,,,,,,,
"HONDURAS",0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2
"HONG KONG",6,6,6,7,8,8,9,10,11,11,11,11,12,13,12,13,13,12,14,17,15,16,18,19,21
"HUNGARY",22,23,22,22,22,23,21,21,20,19,18,17,17,16,16,16,16,16,16,16,15,16,15,16,15
"ICELAND",0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"INDIA",82,89,93,100,109,120,128,131,144,151,160,168,178,186,199,236,226,238,246,255,273,278,279,284,304
"INDONESIA",23,26,26,27,28,29,30,33,34,38,41,43,47,54,57,58,64,67,65,72,75,81,85,86,84
"IRAN",33,32,38,43,43,45,45,47,49,53,55,62,64,64,68,71,71,79,80,86,87,91,99,105,110
"IRAQ",14,11,10,11,12,13,15,15,16,18,19,12,16,18,21,21,21,19,20,20,20,21,22,19,23
"IRELAND",6,6,6,6,5,6,6,7,6,7,7,7,7,8,8,8,9,9,10,10,11,12,11,11,12
"ISRAEL",7,7,7,8,8,7,8,8,9,9,9,10,11,12,13,13,13,15,16,16,17,18,19,17,18
"ITALY",100,102,100,97,98,102,101,107,108,112,113,113,112,111,109,117,114,114,119,119,121,120,122,128,132
"JAMAICA",2,1,2,2,1,1,1,1,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3
"JAPAN",256,252,234,225,244,244,239,242,260,268,277,281,284,284,297,293,301,311,301,313,325,319,323,339,344
"JORDAN",1,2,2,2,2,2,2,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,5,5
"KAZAKSTAN",,,,,,,,,,,,,71,57,42,35,38,32,31,36,38,42,44,46,47
"KENYA",2,2,1,1,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"KIRIBATI",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"KOREA, NORTH",30,31,33,34,35,37,36,35,35,35,34,33,28,26,24,22,19,18,16,18,19,19,18,19,19
"KOREA, SOUTH",34,35,37,40,44,45,45,48,56,60,65,73,79,92,97,107,110,119,103,116,121,120,127,130,135
"KUWAIT",8,7,6,7,7,7,8,9,10,12,7,11,6,8,10,11,13,14,15,16,16,16,15,18,19
"KYRGYZSTAN",,,,,,,,,,,,,4,3,2,1,2,2,2,2,2,2,2,1,1
"LAOS",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LATVIA",,,,,,,,,,,,,3,2,2,3,3,2,2,2,2,2,2,2,2
"LEBANON",2,2,2,2,2,2,2,2,2,1,1,2,2,3,3,3,4,4,4,4,4,4,4,4,4
"LESOTHO",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LIBERIA",1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LIBYA",9,7,8,8,7,8,8,8,9,10,11,11,10,10,10,11,11,12,11,11,11,12,13,15,14
"LITHUANIA",,,,,,,,,,,,,6,5,5,5,4,4,5,4,4,4,4,4,4
"LUXEMBOURG",3,3,3,2,3,3,3,2,3,3,3,3,3,3,3,2,2,2,2,2,2,3,3,3,3
"MACAU",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
"MACEDONIA",,,,,,,,,,,,,3,3,2,3,3,3,3,3,2,2,2,2,2
"MADAGASCAR",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
"MALAWI",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MALAYSIA",7,8,9,10,12,12,13,13,13,14,18,19,20,22,24,24,28,28,28,29,30,34,38,41,42
"MALDIVES",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MALI",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MALTA",0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"MARTINIQUE",0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1
"MAURITANIA",0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1
"MAURITIUS",0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"MEXICO",63,69,71,67,73,74,72,75,75,79,82,84,85,86,91,87,90,95,100,98,104,103,105,107,105
"MOLDOVA",,,,,,,,,,,,,5,4,3,2,2,2,2,2,2,2,2,2,2
"MONGOLIA",2,2,2,2,2,2,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2
"MONTSERRAT",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MOROCCO",4,4,4,4,4,4,5,5,5,6,6,6,6,7,7,7,7,7,8,8,8,9,9,9,8
"MOZAMBIQUE",1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
"NAMIBIA",,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1
"NAURU",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"NEPAL",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
"NETHERLANDS",52,49,48,46,48,50,53,55,55,54,56,59,58,60,60,60,62,65,65,64,68,75,70,70,73
"NETHERLANDS ANTILLES",4,4,4,4,3,3,3,3,3,3,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3
"NEW CALEDONIA",1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,1,1
"NEW ZEALAND",6,5,6,6,6,6,7,7,7,8,8,8,9,8,8,9,9,9,9,9,10,10,10,11,10
"NICARAGUA",1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"NIGER",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"NIGERIA",19,15,16,15,16,17,16,16,17,21,22,24,25,26,26,27,28,25,24,23,22,25,25,25,26
"NIUE",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"NORWAY",9,8,8,8,8,9,10,9,9,10,9,9,10,9,10,10,11,11,11,12,11,11,12,12,14
"OMAN",1,1,1,2,2,2,2,2,2,3,3,4,4,4,4,4,4,5,6,6,6,6,6,6,6
"PAKISTAN",9,10,11,11,12,13,14,15,16,17,18,18,19,21,23,24,26,26,27,28,29,29,29,29,29
"PANAMA",2,1,1,1,1,1,3,3,3,3,3,3,3,3,4,4,3,3,4,4,3,4,3,3,3
"PAPUA NEW GUINEA",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"PARAGUAY",0,0,0,0,0,0,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"PERU",6,6,7,7,6,6,7,7,7,6,5,5,5,6,6,7,7,7,7,7,7,7,7,7,7
"PHILIPPINES",10,9,9,9,8,8,8,9,10,11,11,11,12,14,14,16,16,18,18,19,19,19,20,20,20
"POLAND",115,104,105,105,110,114,116,119,116,112,90,89,88,92,87,83,93,91,85,88,79,75,74,78,78
"PORTUGAL",6,6,8,8,8,9,8,9,9,12,12,12,13,12,13,14,13,14,15,17,17,17,18,17,17
"PUERTO RICO",7,8,6,6,6,6,6,7,6,6,6,7,6,7,7,7,7,7,7,7,7,9,9,10,11
"QATAR",4,4,4,3,4,4,4,4,4,4,5,6,7,8,8,8,8,9,9,9,9,7,8,9,11
"REUNION",0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1
"ROMANIA",46,47,49,50,49,50,51,52,52,54,47,37,35,34,32,33,34,33,27,25,25,28,27,27,26
"RUSSIA",,,,,,,,,,,,,548,508,461,434,428,397,399,419,424,422,422,437,460
"RWANDA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SAINT HELENA",,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SAINT KITTS AND NEVIS",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SAINT LUCIA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SAINT PIERRE AND MIQUELON",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SAINT VINCENT/GRENADINES",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SAMOA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SAO TOME AND PRINCIPE",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SAUDI ARABIA",48,46,44,46,49,49,52,52,55,54,57,62,64,63,65,64,68,69,70,71,79,82,84,94,100
"SENEGAL",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"SERBIA AND MONTENEGRO",,,,,,,,,,,,,12,11,10,8,14,14,14,11,12,12,13,14,14
"SEYCHELLES",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SIERRA LEONE",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SINGAPORE",8,9,10,9,9,10,11,13,13,15,16,17,18,20,22,22,27,27,28,28,29,29,30,33,35
"SLOVAKIA",,,,,,,,,,,,,,12,11,12,12,11,11,10,10,11,10,10,10
"SLOVENIA",,,,,,,,,,,,,3,4,3,4,4,5,4,4,4,4,4,5,5
"SOLOMON ISLANDS",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SOMALIA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SOUTH AFRICA",64,69,74,75,80,81,83,85,86,80,81,84,86,86,94,94,95,104,99,101,103,106,102,112,117
"SPAIN",54,55,60,59,56,55,54,54,55,60,61,64,66,62,64,66,64,72,75,81,86,87,92,94,99
"SRI LANKA",1,1,1,2,2,1,1,2,1,1,1,1,1,2,2,2,2,2,2,3,3,3,3,3,3
"SUDAN",1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,2,2,2,3,3
"SURINAME",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SWAZILAND",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SWEDEN",24,21,18,17,16,17,17,17,16,16,15,14,15,15,16,16,17,16,16,16,15,15,15,16,16
"SWITZERLAND",13,11,10,11,11,12,12,12,12,11,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12
"SYRIA",5,5,5,6,6,7,7,8,8,8,10,9,10,10,11,11,11,12,13,14,14,13,14,14,14
"TAIWAN",20,18,18,20,22,21,24,25,29,32,32,34,36,41,44,49,53,56,60,60,68,67,73,78,84
"TAJIKISTAN",,,,,,,,,,,,,2,2,1,1,1,1,1,2,2,2,2,2,2
"TANZANIA",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"THAILAND",10,10,10,10,11,13,12,14,16,19,23,25,27,31,35,43,46,48,44,46,44,47,51,56,60
"TOGO",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
"TONGA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TRINIDAD AND TOBAGO",3,3,3,4,4,5,5,5,5,5,5,5,5,5,6,6,7,7,7,7,7,8,8,8,9
"TUNISIA",2,3,2,3,3,3,3,3,3,4,4,4,3,4,4,4,4,5,5,5,5,6,6,6,6
"TURKEY",18,18,20,21,23,26,28,30,31,33,35,37,37,39,38,41,46,49,50,49,55,50,53,56,58
"TURKMENISTAN",,,,,,,,,,,,,5,5,5,5,5,5,5,5,6,8,9,12,13
"TURKS AND CAICOS ISLANDS",,,,,,,,,,,,,,,,,,,,,,0,0,0,0
"U.S. PACIFIC ISLANDS",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"UGANDA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"UKRAINE",,,,,,,,,,,,,153,142,120,122,99,93,90,88,88,86,88,96,99
"UNITED ARAB EMIRATES",8,10,10,12,13,17,18,19,21,22,21,26,28,26,26,27,28,30,32,32,30,32,34,36,38
"UNITED KINGDOM",166,162,155,156,155,160,161,164,162,166,163,165,156,158,155,151,159,153,152,150,150,154,151,154,158
"UNITED STATES","1,297","1,264","1,197","1,187","1,254","1,251","1,253","1,298","1,357","1,382","1,367","1,354","1,382","1,410","1,428","1,443","1,495","1,513","1,523","1,543","1,586","1,566","1,570","1,584","1,612"
"URUGUAY",2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,1,1,2,2
"UZBEKISTAN",,,,,,,,,,,,,26,31,27,28,28,28,28,28,29,30,31,31,33
"VANUATU",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"VENEZUELA",25,27,27,26,25,26,28,28,28,29,30,30,30,31,32,34,36,37,39,36,36,40,40,36,39
"VIETNAM",5,4,5,5,5,5,5,6,6,4,5,5,5,7,8,9,9,9,9,11,13,14,16,17,16
"VIRGIN ISLANDS, BRITISH",4,3,3,2,2,3,2,2,1,2,2,2,2,2,2,2,2,2,2,2,3,4,4,4,4
"VIRGIN ISLANDS, U.S.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"WAKE ISLAND",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"WESTERN SAHARA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"YEMEN",2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
"ZAMBIA",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"ZIMBABWE",2,2,2,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3
